Name,Organization,Project
Keisuke Nishimura,The Linux Foundation,"The Linux Foundation is a non-profit consortium dedicated to fostering the growth of Linux. Hosting the Linux Kernel. OpenPrinting, Linux Standards Base, SPDX, ..."
Muhammed Suhail A H,Python Software Foundation,"Python is a popular high-level programming language used by scientists, developers, and
many others who want to work more quickly and integrate systems more effectively."
Yu-Shiang Dang,The Honeynet Project,The Honeynet Project is a non-profit research organization dedicated to improving the security of the Internet at no cost to the public. Focus is on honeypots and threat analysis.
Gaurav Pandey (ligmitz),Zulip,"Zulip is a powerful, open source group chat application with a unique threading model.  Zulip has invested extensively in tooling designed to give contributors a great experience."
Michail Raptakis,Libre Space Foundation,"Libre Space Foundation is working on several free software, open hardware and open data projects directly and indirectly related to space applications and technologies."
Dinesh Sathia Raj,INCF,"INCF enables open and FAIR neuroscience by developing and endorsing standards and best practices, and by providing training in neuroinformatics and data management."
Suraj Kumar-3,Boost C++ Libraries,"Boost provides free peer-reviewed portable C++ source libraries.
We emphasize libraries that work well with the C++ Standard Library and are intended to be widely useful."
Suyash Vardhan Mathur,Zulip,"Zulip is a powerful, open source group chat application with a unique threading model.  Zulip has invested extensively in tooling designed to give contributors a great experience."
Atharva Arya,TARDIS SN,TARDIS is a community-developed tool to simulate the spectrum of light emitted by exploding stars using Monte Carlo techniques.
Ashwin M,Open Chemistry,"Open Chemistry is a collection of open source chemistry tools for the creation, exploration, analysis, and visualization of chemical data."
Nived,TensorFlow,TensorFlow is an open-source machine learning framework for everyone.
Sean Ng,FreeBSD Project,"FreeBSD is an advanced, open source operating system that features a mature network stack, a high degree of reliability, and excellent performance."
Nitik Jain,INCF,"INCF enables open and FAIR neuroscience by developing and endorsing standards and best practices, and by providing training in neuroinformatics and data management."
Nitesh Mahawar,Red Hen Lab,Research on Multimodal Communication
Bogdan Grigoruță,QEMU,"QEMU is an emulator and virtualizer that can run x86, ARM, and more virtual machines on a different machine. It has both dynamic binary translation and virtualization capabilities."
Fan Chung,FreeBSD Project,"FreeBSD is an advanced, open source operating system that features a mature network stack, a high degree of reliability, and excellent performance."
Shruti Chaturvedi,Continuous Delivery Foundation,The Continuous Delivery Foundation (CDF) is an open-source community that seeks to improve the world’s capacity to deliver software with security and speed.
Xu Wang,Ceph,"An open-source storage platform, that implements storage on a single distributed computer cluster, and provides a 3-in-1 interfaces for object-, block- and file-level storage."
Wenhe Li,Chromium,"Chromium is an open-source project that aims to provide fast, seamless, safe, and reliable computing experiences for all."
Debaditya Pal,Python Software Foundation,"Python is a popular high-level programming language used by scientists, developers, and
many others who want to work more quickly and integrate systems more effectively."
Milind Thakur,TensorFlow,TensorFlow is an open-source machine learning framework for everyone.
Harjeet Singh,AOSSIE,The Australian umbrella organization for open-source projects.
Dhairya Bahl,Synfig,Synfig is a 2D open-source animation software. It is capable to produce vector artwork and also can work with bitmap images.
imlk,openSUSE Project,"The openSUSE project is a community effort to enhance and promote the use of Linux. openSUSE creates one of the world's best Linux distributions, as well as a variety of tools."
ayush_bansal,Libre Space Foundation,"Libre Space Foundation is working on several free software, open hardware and open data projects directly and indirectly related to space applications and technologies."
Naman Lakhwani,CNCF,Building sustainable ecosystems for cloud native software
Neelaksh Singh,freifunk,Freifunk is part of a global movement for free infrastructure. Our vision is the democratization of media with free networks. Wireless communities implement this idea worldwide.
Rudraksh Aggarwal,Bench-Routes,Bench-routes is a tool that monitors network performance of APIs and metrics from system and apps. It also enables visualizing values in graphs.
Devin Ragotzy,Matrix.org,"An open network for secure, decentralized communication"
Ankit Hans,JBoss Community,JBoss Community is a community of open source projects around JBoss middleware
harshadms,GNSS-SDR,"GNSS-SDR is a GNSS software receiver, written in C++, that is able to work from raw signal samples and performs all the signal processing until the Position-Velocity-Time solution."
Shikhar Vashistha,Boost C++ Libraries,"Boost provides free peer-reviewed portable C++ source libraries.
We emphasize libraries that work well with the C++ Standard Library and are intended to be widely useful."
Jackson Campolattaro,CGAL Project,CGAL is a software project that provides easy access to efficient and reliable geometric algorithms in the form of a C++ library.
D.J. Servilla,ScummVM,ScummVM is a FOSS game preservation project focused on reliving games by providing a replacement for their executables on modern platforms.
Aaradhya Saxena,CERN-HSF,"CERN-HEP Software Foundation, the umbrella organization for particle physics in GSoC"
Aakash Chaudhary,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
naan_dhaan,Apertium,A free/open-source machine translation platform.
Dhanuka Warusadura.,GNOME Foundation,GNOME is the most popular Linux Free/Libre desktop environment with cutting edge apps. Together we are a diverse and friendly community who support each other in reaching our goal.
Abhinav Krishna C K,Matrix.org,"An open network for secure, decentralized communication"
Ghulam Ghous,Rocket.Chat,The ultimate open source team chat and extensible communications platform.
YashRaj-2001,Oppia Foundation,"Oppia is a free online learning platform that makes quality education accessible for all. The website is built with Angular 2+ and Python, and we also have an Android application."
Aditya Siddheshwar,Processing Foundation,The Processing Foundation’s mission is to promote software literacy and visual literacy — and to make these fields accessible to diverse communities.
Arjun Garg,Postman,Postman provides solutions for all stages of the API lifecycle. Our open source modules power core features and give developers the flexibility to work in different environments.
Rohan Gupta,Global Alliance for Genomics and Health,"The Global Alliance for Genomics and Health is a technical standards-setting organization, seeking to enable responsible genomic data sharing within a human rights framework."
Muhammad Ehsan ul Haq,Machine Learning for Science (ML4SCI) Umbrella Organization,Umbrella organization for machine learning applications to open problems in science
Kartik_Gupta,Rocket.Chat,The ultimate open source team chat and extensible communications platform.
Mayur Shende,The R Project for Statistical Computing,"R provides a wide variety of statistical and graphical techniques, and is highly extensible. R is often the tool of choice for research in statistical methodology."
Tanya Prasad,AOSSIE,The Australian umbrella organization for open-source projects.
Marcos Tidball,Machine Learning for Science (ML4SCI) Umbrella Organization,Umbrella organization for machine learning applications to open problems in science
Divye Nayyar,Chapel,"Chapel is an open-source programming language designed for productive parallel
computing at scale."
Anshal Shukla,coala,"coala provides a command-line interface for linting and fixing all your code, regardless of the programming languages you use with just one tool and just one configuration file."
Jebastin Nadar,OpenCV,"OpenCV, the Open Source Computer Vision Library includes state of the art computer vision and deep learning algorithms. It is professionally coded and optimized."
Eugene Lyapustin,Intel Video and Audio for Linux,We work on Linux opensource video and audio software for Intel.
Sundeep Chand,Python Software Foundation,"Python is a popular high-level programming language used by scientists, developers, and
many others who want to work more quickly and integrate systems more effectively."
Radesh Kumar,Oppia Foundation,"Oppia is a free online learning platform that makes quality education accessible for all. The website is built with Angular 2+ and Python, and we also have an Android application."
Junduo Dong,PostgreSQL,"PostgreSQL is a powerful, open source object-relational database system."
Gagan Aryan,openastronomy,OpenAstronomy is an umbrella organisation that includes open source projects used by researchers and engineers around the world to better understand the universe.
Nnamdi,Mayor's Office of New Urban Mechanics (City of Boston),The Mayor's Office of New Urban Mechanics is a civic research and development incubator in Boston.
Guillem Felis,Liquid Galaxy project,Liquid Galaxy is a panoramic system that runs Google Earth across a PC cluster
Aniket Ranjan,National Resource for Network Biology (NRNB),"The National Resource for Network Biology (NRNB) organizes the development of free, open source software to enable network-based visualization, analysis, and biomedical discovery."
Shruti Sridhar,Debian,"Debian is a free operating system (OS). It provides more than an OS, coming with over 51,000 software packages bundled in a nice format for easy installation on your machine."
Chirag Kasat,PostgreSQL,"PostgreSQL is a powerful, open source object-relational database system."
Anis Ismail,Machine Learning for Science (ML4SCI) Umbrella Organization,Umbrella organization for machine learning applications to open problems in science
Tanmay Chavan,KDE Community,"The KDE community produces Free and Open Source Software and brings together artists, designers, programmers, translators, users, writers and other contributors from everywhere"
ankiitgupta7,Red Hen Lab,Research on Multimodal Communication
Pinku Deb Nath,MediaPipe,"MediaPipe offers open source cross-platform, customizable ML solutions for live and streaming media."
Caleb Herbel,The Apache Software Foundation,Providing open source software to the public free of charge
Yash Bhambhu,CCExtractor Development,"Tools to make the world more accessible. ML/AI, Rust, Flutter, peer-to-peer..."
Arsh Pratap,ArduPilot,"The world's most versatile, trusted and open autopilot"
Callum Rollo,Integrated Ocean Observing System (IOOS),IOOS is an integrated network of people/technology gathering observing data and developing tracking and predictive tools. For more info please check https://github.com/ioos/gsoc
eppisai (Aman Singh),apertus° Association,apertus° is developing free and open technology for professional film production.
satbws,VideoLAN,The VideoLAN project is led by and composed of a team of volunteers who believe in the power of open source to rock the multimedia world.
Amanjot Singh,BRL-CAD,"BRL-CAD partners with several computer-aided technologies (CAx) including LibreCAD, OpenSCAD, FreeCAD, & IfcOpenShell.  We do graphics, geometry, CAD, & CAD standards."
Ybrahin Martinez,Python Software Foundation,"Python is a popular high-level programming language used by scientists, developers, and
many others who want to work more quickly and integrate systems more effectively."
Sanchita Singh,XWiki,"XWiki offers a generic web platform for developing collaborative applications using the wiki paradigm, allowing customization through a vast collection of extensions."
Aryan Shridhar,Zulip,"Zulip is a powerful, open source group chat application with a unique threading model.  Zulip has invested extensively in tooling designed to give contributors a great experience."
Mithil,Liquid Galaxy project,Liquid Galaxy is a panoramic system that runs Google Earth across a PC cluster
Riccardo Mancini,The Linux Foundation,"The Linux Foundation is a non-profit consortium dedicated to fostering the growth of Linux. Hosting the Linux Kernel. OpenPrinting, Linux Standards Base, SPDX, ..."
Nishchal Singi,"Department of Biomedical Informatics (BMI), Emory University School of Medicine","We are pushing the boundaries at the intersection of data science, software research and development, and integrative biomedical research to advance healthcare."
Yemdjih Kaze Nasser,The Apache Software Foundation,Providing open source software to the public free of charge
Virajkumar Patel,"Department of Biomedical Informatics (BMI), Emory University School of Medicine","We are pushing the boundaries at the intersection of data science, software research and development, and integrative biomedical research to advance healthcare."
Zeyad Gouda,CRIU,CRIU is a tool that can save the state of a running container to disk and restore the container later exactly as it was
Abhay Garg,Oppia Foundation,"Oppia is a free online learning platform that makes quality education accessible for all. The website is built with Angular 2+ and Python, and we also have an Android application."
Niklas Muennighoff,DeepPavlov,DeepPavlov is an open-source stack for building multiskill AI assistants.
Anna Bogdanova,Python Software Foundation,"Python is a popular high-level programming language used by scientists, developers, and
many others who want to work more quickly and integrate systems more effectively."
Aman Dwivedi,FOSSology,"FOSSology is an open source license compliance software system and toolkit. License, copyright and export scanners are tools used in the workflow."
Kensei Nakada,CNCF,Building sustainable ecosystems for cloud native software
Jeffrey Paul,openastronomy,OpenAstronomy is an umbrella organisation that includes open source projects used by researchers and engineers around the world to better understand the universe.
Rakshit P,Pharo Consortium,"Pharo is a pure object-oriented programming language and a powerful environment, focused on simplicity and immediate feedback (think IDE and OS rolled into one)."
Alejandro Fernández,RoboComp,RoboComp is a modern open-source Robotics framework.
nakuldx,coala,"coala provides a command-line interface for linting and fixing all your code, regardless of the programming languages you use with just one tool and just one configuration file."
Chuyang Chen,The LLVM Compiler Infrastructure,The LLVM Project is a collection of modular and reusable compiler and toolchain technologies.
aniket agarwalla,CGAL Project,CGAL is a software project that provides easy access to efficient and reliable geometric algorithms in the form of a C++ library.
Alluri Harshit Varma,The Terasology Foundation,"The Terasology Foundation is the organization behind Terasology, DestinationSol, and a series of related work aimed at making game development in Java easier and more fun."
James Culver,Pidgin Instant Messenger,Pidgin allows you to connect to multiple chat networks at the same time and presents them to the user in a single unified user interface.
Karan Singh,vitrivr,vitrivr is an open source full-stack content-based multimedia retrieval system
qlin,International Catrobat Association,"Through Catrobat, we want to enable teenagers to learn how to code and how to create their own games, animations, and other apps, directly on their phones."
Aditi Verma,OpenMined,"OpenMined is an open-source community of researchers, engineers, mentors and enthusiasts committed to making a fairer world by building and teaching privacy enhancing technologies"
Sinan Gençoğlu,Machine Learning for Science (ML4SCI) Umbrella Organization,Umbrella organization for machine learning applications to open problems in science
Akash Dhiman,Zulip,"Zulip is a powerful, open source group chat application with a unique threading model.  Zulip has invested extensively in tooling designed to give contributors a great experience."
Bhuvaneshwar Vemula,Godot Engine,Godot is a multi-platform 2D and 3D game engine with a feature-rich editor
Nicholas Mancuso,Checkstyle,Checkstyle is a development tool to help programmers write Java code that is easy to read and adheres to a coding standard.
Emma Bastås,Elm Tooling,We're an organization to facilitate work on tooling for Elm
Pranav Saxena,OWASP Foundation,"The Open Web Application Security Project® (OWASP) is a nonprofit foundation that improves application security through open-source projects, local chapters, and conferences."
Yasharth Dubey,The Palisadoes Foundation,"Our software projects help community-based organizations such as clubs, neighborhood groups, volunteer associations and small religious institutions manage their daily activities."
Shehjad Khan,TensorFlow,TensorFlow is an open-source machine learning framework for everyone.
Archit Rungta,OpenCV,"OpenCV, the Open Source Computer Vision Library includes state of the art computer vision and deep learning algorithms. It is professionally coded and optimized."
Nabeel Danish,The ENIGMA Team,"ENIGMA is a tool for rapid game development. Its goal is to be easy to learn and easy to use, taking the toil out of managing assets and the complicated interactions between them."
Harshit Chopra,Continuous Delivery Foundation,The Continuous Delivery Foundation (CDF) is an open-source community that seeks to improve the world’s capacity to deliver software with security and speed.
Saloni,Haiku,"Haiku is an open-source operating system that specifically targets personal computing. Inspired by the BeOS, Haiku is fast, simple to use, easy to learn and yet very powerful."
Arsh Sharma,CNCF,Building sustainable ecosystems for cloud native software
Tarun Moses Akumalla,SPDX,"SPDX is an open standard for communicating software bill of material information, including provenance, license, security, and other related information."
KUMAR SHIVAM,Joomla!,Joomla is one of the world's most popular software packages used to build websites and online apps. Joomla is supported by a large ecosystem powering about 2% of known businesses.
Amr Elsersy,Open Robotics,"Our mission is to support the development, distribution, and adoption of open source software for use in robotics research, education, and product development."
Divyasheel,The Linux Foundation,"The Linux Foundation is a non-profit consortium dedicated to fostering the growth of Linux. Hosting the Linux Kernel. OpenPrinting, Linux Standards Base, SPDX, ..."
Roberto David Aleman,AerospaceResearch.net,"Making space together. Space is interdisciplinary, international & intercultural. We live this philosophy. Help the space community realizing our dream of open space for everybody"
Mrigank Anand,OWASP Foundation,"The Open Web Application Security Project® (OWASP) is a nonprofit foundation that improves application security through open-source projects, local chapters, and conferences."
David Ayotte,SageMath,"SageMath is a free open-source mathematics software system licensed under the GPL.
It’s mission is “creating a viable free alternative to Magma, Maple, Mathematica and Matlab”."
Ujjwal Agarwal,SPDX,"SPDX is an open standard for communicating software bill of material information, including provenance, license, security, and other related information."
Georgios Giannakoulias,GFOSS - Open Technology Alliance,"Open Technologies Alliance (GFOSS)  is a non-profit organization, with 34 Universities and Research Centers as its shareholders. Our main goal is to promote Openness."
Atharva Raykar,Git,"Git is the most widely-used revision control system in Open Source. It
is a distributed system with an emphasis on speed, data integrity, and
support for many workflows."
Soumyadip Mondal,Dart,Dart is a client-optimized language for fast apps on any platform.
Aditya Kane,TensorFlow,TensorFlow is an open-source machine learning framework for everyone.
Ahmed-1,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Isabel Lima,Swift,"Swift is a general-purpose programming language built using a modern approach to safety, performance, and software design patterns."
Deepak Singh Rathore,LabLua,"LabLua is a research lab dedicated to research on programming languages, with emphasis on the Lua language and reactive programming."
Julian Komaromy,CGAL Project,CGAL is a software project that provides easy access to efficient and reliable geometric algorithms in the form of a C++ library.
Adam Li,Python Software Foundation,"Python is a popular high-level programming language used by scientists, developers, and
many others who want to work more quickly and integrate systems more effectively."
a-yyg,ScummVM,ScummVM is a FOSS game preservation project focused on reliving games by providing a replacement for their executables on modern platforms.
Shailesh Kanojiya,Wikimedia Foundation,"Wikimedia is a global movement whose mission is to bring free educational content to the world through its various projects, local chapters, and support structures."
Mahanaz Atiqullah,Swift,"Swift is a general-purpose programming language built using a modern approach to safety, performance, and software design patterns."
Nasir Hemed,VideoLAN,The VideoLAN project is led by and composed of a team of volunteers who believe in the power of open source to rock the multimedia world.
Aaryan Porwal,Ceph,"An open-source storage platform, that implements storage on a single distributed computer cluster, and provides a 3-in-1 interfaces for object-, block- and file-level storage."
Benura Abeywardena,The Apache Software Foundation,Providing open source software to the public free of charge
Kathrin Elmenhorst,Digital Impact Alliance (DIAL) at UN Foundation,"Open source projects for humanitarian work, international development, and peace"
Bayram Çiçek,LibreOffice,"LibreOffice is a lively and diverse community, delivering a full-featured cross-platform office suite. We value new contributors, just as we prize Open Source and Open Standards."
Venkata Shravan,CCExtractor Development,"Tools to make the world more accessible. ML/AI, Rust, Flutter, peer-to-peer..."
Ritik Jain,AOSSIE,The Australian umbrella organization for open-source projects.
The_DarkFire_,ReactOS,"ReactOS is an open-source operating system compatible with Windows. It is binary compatible, so can run both applications and drivers written for Windows."
Sarthak Singh,SCoRe Lab,SCoRe Lab is a research lab that seeks sustainable solutions for various problems in developing countries.
George Mitenkov,The LLVM Compiler Infrastructure,The LLVM Project is a collection of modular and reusable compiler and toolchain technologies.
Sahil,Python Software Foundation,"Python is a popular high-level programming language used by scientists, developers, and
many others who want to work more quickly and integrate systems more effectively."
Xinyu Wang,Ruby,"The Ruby organization collects mentors and students working on the Ruby language (MRI), the Ruby packaging system (Bundler, RubyGems, and RubyGems.org), and other Ruby projects."
Kunwar Maheep Singh,Open Bioinformatics Foundation,Promoting practice & philosophy of OSS & Open Science in biological research.
Hariom Chaturvedi,The Honeynet Project,The Honeynet Project is a non-profit research organization dedicated to improving the security of the Internet at no cost to the public. Focus is on honeypots and threat analysis.
Ayush Shrivastava,freifunk,Freifunk is part of a global movement for free infrastructure. Our vision is the democratization of media with free networks. Wireless communities implement this idea worldwide.
Alessandro Cheli,The Julia Language,A fresh approach to Technical Computing
infaz,The Apache Software Foundation,Providing open source software to the public free of charge
Shubham Awasthi,"Department of Biomedical Informatics (BMI), Emory University School of Medicine","We are pushing the boundaries at the intersection of data science, software research and development, and integrative biomedical research to advance healthcare."
Himanshi Kalra,Blender Foundation,"Blender is the free/open source 3D creation software for everyone, providing individuals and small teams a complete pipeline for 3D graphics, modeling, animation and games."
Victor Hugo Cano Gil,Open Chemistry,"Open Chemistry is a collection of open source chemistry tools for the creation, exploration, analysis, and visualization of chemical data."
TinTin,OWASP Foundation,"The Open Web Application Security Project® (OWASP) is a nonprofit foundation that improves application security through open-source projects, local chapters, and conferences."
Dhanmoni Nath,Open Bioinformatics Foundation,Promoting practice & philosophy of OSS & Open Science in biological research.
Manav Agarwal,Django Software Foundation,"Django is a high-level Python Web framework originally designed to build high-performing, elegant Web applications quickly."
Octávio H. Müller Barrio,Liquid Galaxy project,Liquid Galaxy is a panoramic system that runs Google Earth across a PC cluster
Parth Pant,Inkscape,"An Open Source vector graphics editor, using the W3C standard Scalable Vector Graphics (SVG) file format."
Vipul Chhabra,Global Alliance for Genomics and Health,"The Global Alliance for Genomics and Health is a technical standards-setting organization, seeking to enable responsible genomic data sharing within a human rights framework."
Noah Liguori-Bills,National Resource for Network Biology (NRNB),"The National Resource for Network Biology (NRNB) organizes the development of free, open source software to enable network-based visualization, analysis, and biomedical discovery."
Swapnal Shahil,SCoRe Lab,SCoRe Lab is a research lab that seeks sustainable solutions for various problems in developing countries.
Jenniline Ebai,CiviCRM LLC,CiviCRM is the leading open source CRM for nonprofits worldwide.
Baidyanath Kundu,CERN-HSF,"CERN-HEP Software Foundation, the umbrella organization for particle physics in GSoC"
D R Siddhartha,Python Software Foundation,"Python is a popular high-level programming language used by scientists, developers, and
many others who want to work more quickly and integrate systems more effectively."
Pratyush Tiwari,Pitivi,"Pitivi is a video editor with an elegant UI which suits both the newcomer and the professional, based on the industry-standard GStreamer multimedia framework."
zwerg4,International Catrobat Association,"Through Catrobat, we want to enable teenagers to learn how to code and how to create their own games, animations, and other apps, directly on their phones."
Sophia He,Machine Learning for Science (ML4SCI) Umbrella Organization,Umbrella organization for machine learning applications to open problems in science
Piotrek Brzeziński,Pitivi,"Pitivi is a video editor with an elegant UI which suits both the newcomer and the professional, based on the industry-standard GStreamer multimedia framework."
Anubhav Singh-1,VideoLAN,The VideoLAN project is led by and composed of a team of volunteers who believe in the power of open source to rock the multimedia world.
Manas Gupta,The LLVM Compiler Infrastructure,The LLVM Project is a collection of modular and reusable compiler and toolchain technologies.
Rasswanth S,OpenMined,"OpenMined is an open-source community of researchers, engineers, mentors and enthusiasts committed to making a fairer world by building and teaching privacy enhancing technologies"
Sumitra Saksham,The Palisadoes Foundation,"Our software projects help community-based organizations such as clubs, neighborhood groups, volunteer associations and small religious institutions manage their daily activities."
Mrinalkanti Roy,Pharo Consortium,"Pharo is a pure object-oriented programming language and a powerful environment, focused on simplicity and immediate feedback (think IDE and OS rolled into one)."
Vivek Agrawal,Learning Equality,"Developers and maintainers of Kolibri, an adaptable set of open solutions specially designed to support learning for the half of the world without Internet access."
Pranav Mahajan,INCF,"INCF enables open and FAIR neuroscience by developing and endorsing standards and best practices, and by providing training in neuroinformatics and data management."
M. Vignesh Venkataraman,Open Chemistry,"Open Chemistry is a collection of open source chemistry tools for the creation, exploration, analysis, and visualization of chemical data."
Samarjeet Singh,Navidrome,Modern music server and streamer compatible with Subsonic/Airsonic
Purvansh Singh,Hydra Ecosystem,Automate REST APIs. Build next generation API clients.
Aman  Verma,CERN-HSF,"CERN-HEP Software Foundation, the umbrella organization for particle physics in GSoC"
jaxmatrix,Open Chemistry,"Open Chemistry is a collection of open source chemistry tools for the creation, exploration, analysis, and visualization of chemical data."
Yash,SCoRe Lab,SCoRe Lab is a research lab that seeks sustainable solutions for various problems in developing countries.
S.M Mukarram Nainar,FFmpeg,"A complete, cross-platform solution to record, convert and stream audio and video."
Haris Zafeiropoulos,GeomScale,"GeomScale is a research and development project that delivers open source code in the intersection of data science, optimization, geometric and statistical computing."
Tanmay Singal,vitrivr,vitrivr is an open source full-stack content-based multimedia retrieval system
Rishab Mallick,Genome Assembly and Annotation,The Genome Assembly and Annotation resources freely distribute reference annotations of genomic sequences and variation to the worldwide research community.
Nabeel Merchant,Learning Equality,"Developers and maintainers of Kolibri, an adaptable set of open solutions specially designed to support learning for the half of the world without Internet access."
Tim Ramlot,CNCF,Building sustainable ecosystems for cloud native software
Jake Watson,OpenCV,"OpenCV, the Open Source Computer Vision Library includes state of the art computer vision and deep learning algorithms. It is professionally coded and optimized."
Sofia Strukova,Machine Learning for Science (ML4SCI) Umbrella Organization,Umbrella organization for machine learning applications to open problems in science
Ganesh Pawar,Zulip,"Zulip is a powerful, open source group chat application with a unique threading model.  Zulip has invested extensively in tooling designed to give contributors a great experience."
Omkar  Bhilare,BeagleBoard.org Foundation,"BeagleBoard.org is advancing open source hardware and growing the community of embedded Linux developers. This year, we've added RISC-V hardware."
Matan,Ceph,"An open-source storage platform, that implements storage on a single distributed computer cluster, and provides a 3-in-1 interfaces for object-, block- and file-level storage."
Rupal Sharma,"Center for Research in Open Source Software, UC Santa Cruz",CROSS bridges the gap between student research and successful open source projects.
Aishwary Saxena,Oppia Foundation,"Oppia is a free online learning platform that makes quality education accessible for all. The website is built with Angular 2+ and Python, and we also have an Android application."
Siddhant Sehgal,Joplin,"Joplin is an open-source note taking and to-do application with synchronisation capabilities. The notes are searchable, tagged and images or files can be attached to them."
Isaiah Blanks,The Terasology Foundation,"The Terasology Foundation is the organization behind Terasology, DestinationSol, and a series of related work aimed at making game development in Java easier and more fun."
gupt4j1,OWASP Foundation,"The Open Web Application Security Project® (OWASP) is a nonprofit foundation that improves application security through open-source projects, local chapters, and conferences."
Mohammad Arshad,CCExtractor Development,"Tools to make the world more accessible. ML/AI, Rust, Flutter, peer-to-peer..."
Ninad Jangle,Free and Open Source Silicon Foundation,Working together to improve the Free and Open Source Silicon ecosystem
Ahmed Moorsy,MediaPipe,"MediaPipe offers open source cross-platform, customizable ML solutions for live and streaming media."
Michal Lenc,The Apache Software Foundation,Providing open source software to the public free of charge
Bikram Biswas-1,The Apache Software Foundation,Providing open source software to the public free of charge
JL_Meirelles,Open Genome Informatics,"Developing open source and open access genome and bioinformatics databases, tools and resources."
Halil İbrahim Ceylan,CNCF,Building sustainable ecosystems for cloud native software
Vinayak Sankar,apertus° Association,apertus° is developing free and open technology for professional film production.
luc65r,FFmpeg,"A complete, cross-platform solution to record, convert and stream audio and video."
Tamara David,International Catrobat Association,"Through Catrobat, we want to enable teenagers to learn how to code and how to create their own games, animations, and other apps, directly on their phones."
Paulette Vazquez,Mayor's Office of New Urban Mechanics (City of Boston),The Mayor's Office of New Urban Mechanics is a civic research and development incubator in Boston.
ApratimRanChak,Digital Impact Alliance (DIAL) at UN Foundation,"Open source projects for humanitarian work, international development, and peace"
Rachana Podaralla,Inkscape,"An Open Source vector graphics editor, using the W3C standard Scalable Vector Graphics (SVG) file format."
Nickil Maveli,Red Hen Lab,Research on Multimodal Communication
Veenit Kumar,OSGeo - Open Source Geospatial Foundation,OSGeo is a non-profit organization serving as an umbrella organization for the Open Source Geospatial community.
Rishabh Sanjay,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Sarthak Saxena,Postman,Postman provides solutions for all stages of the API lifecycle. Our open source modules power core features and give developers the flexibility to work in different environments.
Prateek Ganguli,Debian,"Debian is a free operating system (OS). It provides more than an OS, coming with over 51,000 software packages bundled in a nice format for easy installation on your machine."
Mikhail Nitenko,FFmpeg,"A complete, cross-platform solution to record, convert and stream audio and video."
taylorzhancher,ScummVM,ScummVM is a FOSS game preservation project focused on reliving games by providing a replacement for their executables on modern platforms.
Siddharth Bhatia,The Julia Language,A fresh approach to Technical Computing
Fang,The Apache Software Foundation,Providing open source software to the public free of charge
Aviral Jain,CloudCV,"CloudCV is an open-source organization building platforms for reproducible AI research & making it easy for researchers to build, compare, & share state-of-the-art AI algorithms."
Sang Woo Bae,The Apache Software Foundation,Providing open source software to the public free of charge
Dhananjay Purohit,Orcasound,Humans & machines listening together to save the whales.
Arash Ahmadian,SymbiFlow,"The SymbiFlow project is building a FOSS flow for developing FPGA IP/gateware, lowering the entry barrier into FPGA development for professional engineers and hobbyists."
Siyi Wei,The R Project for Statistical Computing,"R provides a wide variety of statistical and graphical techniques, and is highly extensible. R is often the tool of choice for research in statistical methodology."
Savish Bedi,CloudCV,"CloudCV is an open-source organization building platforms for reproducible AI research & making it easy for researchers to build, compare, & share state-of-the-art AI algorithms."
Abhay Raj Singh,libvirt,Libvirt is a library and toolkit providing abstraction for various hypervisors. It can be used from a number of languages.
